address,appraisal,appraisal_old,assessment_new,assessment_old,appraisal_year1,assessment_year1,appraisal_year2,assessment_year2
53 ST MIHIEL DR,269300,162000,188510,113400,188825,132177.5,215650,150955
39 STANLEY RD,319300,207800,223510,145460,235675,164972.5,263550,184485
40 STANLEY RD,288900,185300,202230,129709.99999999999,211200,147840,237100,165970
47 STANLEY RD,288200,189200,201740,132440,213950,149765,238700,167090
55 STANLEY RD,318400,206400,222880,144480,234400,164080,262400,183680
58 STANLEY RD,279100,182500,195370,127749.99999999999,206650,144655,230800,161560
65 STANLEY RD,311600,203400,218120,142380,230450,161315,257500,180250
70 STANLEY RD,304900,196500,213430,137550,223600,156520,250700,175490
77 STANLEY RD,305300,197600,213710,138320,224525,157167.5,251450,176015
80 STANLEY RD,295500,176700,206850,123689.99999999999,206400,144480,236100,165270
89 STANLEY RD,305500,240800,213850,168560,256975,179882.5,273150,191205
90 STANLEY RD,289000,186000,202300,130199.99999999999,211750,148225,237500,166250
96 STANLEY RD,282300,187300,197610,131110,211050,147735,234800,164360
100 STANLEY RD,329700,219400,230789.99999999997,153580,246975,172882.5,274550,192185
110 STANLEY RD,359100,230800,251369.99999999997,161560,262875,184012.5,294950,206465
126 STANLEY RD,334600,212300,234219.99999999997,148610,242875,170012.5,273450,191415
132 STANLEY RD,295500,188700,206850,132090,215400,150780,242100,169470
138 STANLEY RD,353300,226200,247309.99999999997,158340,257975,180582.5,289750,202825
143 STANLEY RD,279300,179200,195510,125439.99999999999,204225,142957.5,229250,160475
148 STANLEY RD,289100,188900,202370,132230,213950,149765,239000,167300
153 STANLEY RD,342300,226500,239609.99999999997,158550,255450,178815,284400,199080
158 STANLEY RD,322300,219200,225610,153440,244975,171482.5,270750,189525
163 STANLEY RD,389500,268900,272650,188230,299050,209335,329200,230439.99999999997
175 STANLEY RD,314200,234900,219940,164430,254725,178307.5,274550,192185
183 STANLEY RD,413900,270800,289730,189560,306575,214602.5,342350,239644.99999999997
192 STANLEY RD,370600,235300,259419.99999999997,164710,269125,188387.5,302950,212065
193 STANLEY RD,343600,236200,240519.99999999997,165340,263050,184135,289900,202930
202 STANLEY RD,309700,215100,216790,150570,238750,167125,262400,183680
205 STANLEY RD,389900,254300,272930,178010,288200,201740,322100,225470
208 STANLEY RD,349400,232100,244579.99999999997,162470,261425,182997.5,290750,203525
211 STANLEY RD,410900,272100,287630,190470,306800,214760,341500,239049.99999999997
215 STANLEY RD,379700,237800,265790,166460,273275,191292.5,308750,216125
0 STATE ST,52100,36500,36470,25550,40400,28280,44300,31009.999999999996
1655 STATE ST,402700,237400,281890,166180,278725,195107.5,320050,224035
1656 STATE ST,307800,178800,215460,125159.99999999999,211050,147735,243300,170310
1659 STATE ST,56300,39800,39410,27860,43925,30747.499999999996,48050,33635
1662 STATE ST,453700,266800,317590,186760,313525,219467.5,360250,252174.99999999997
1665 STATE ST,432800,272200,302960,190540,312350,218645,352500,246749.99999999997
1668 STATE ST,409200,245500,286440,171850,286425,200497.5,327350,229145
1673 STATE ST,516000,322700,361200,225890,371025,259717.49999999997,419350,293545
1677 STATE ST,271100,168600,189770,118019.99999999999,194225,135957.5,219850,153895
1678 STATE ST,283100,175500,198170,122849.99999999999,202400,141680,229300,160510
1680 STATE ST,325500,194300,227850,136010,227100,158970,259900,181930
1681 STATE ST,259500,160900,181650,112630,185550,129884.99999999999,210200,147140
1686 STATE ST,283000,171600,198100,120119.99999999999,199450,139615,227300,159110
1687 STATE ST,257900,154400,180530,108080,180275,126192.49999999999,206150,144305
1690 STATE ST,234200,160500,163940,112350,178925,125247.49999999999,197350,138145
1691 STATE ST,345000,214900,241499.99999999997,150430,247425,173197.5,279950,195965
1694 STATE ST,220400,127900,154280,89530,151025,105717.5,174150,121904.99999999999
1695 STATE ST,316300,240500,221410,168350,259450,181615,278400,194880
1698 STATE ST,4900,3500,3430,2450,3850,2695,4200,2940
1700 STATE ST,338700,205800,237089.99999999997,144060,239025,167317.5,272250,190575
1703 STATE ST,264200,155900,184940,109130,182975,128082.49999999999,210050,147035
1704 STATE ST,303300,200200,212310,140140,225975,158182.5,251750,176225
1709 STATE ST,211900,130000,148330,91000,150475,105332.5,170950,119664.99999999999
1717 STATE ST,423900,253500,296730,177450,296100,207270,338700,237089.99999999997
1725 STATE ST,271800,161700,190260,113190,189225,132457.5,216750,151725
1727 STATE ST,282300,170000,197610,118999.99999999999,198075,138652.5,226150,158305
1743 STATE ST,340800,281000,238559.99999999997,196700,295950,207165,310900,217630
1754 STATE ST,272400,165700,190680,115989.99999999999,192375,134662.5,219050,153335
1765 STATE ST,279400,184300,195580,129009.99999999999,208075,145652.5,231850,162295
1766 STATE ST,327300,181900,229110,127329.99999999999,218250,152775,254600,178220
1769 STATE ST,218300,143800,152810,100660,162425,113697.5,181050,126734.99999999999
1770 STATE ST,362000,218700,253399.99999999997,153090,254525,178167.5,290350,203245
1773 STATE ST,286000,179400,200200,125579.99999999999,206050,144235,232700,162890
1776 STATE ST,379800,265000,265860,185500,293700,205590,322400,225680
1781 STATE ST,492200,305800,344540,214060,352400,246679.99999999997,399000,279300
1784 STATE ST,259100,153200,181370,107240,179675,125772.49999999999,206150,144305
1788 STATE ST,254800,153400,178360,107380,178750,125124.99999999999,204100,142870
1793 STATE ST,324600,195700,227220,136990,227925,159547.5,260150,182105
1794 STATE ST,257300,146300,180110,102410,174050,121834.99999999999,201800,141260
1797 STATE ST,47700,33700,33390,23590,37200,26040,40700,28490
1798 STATE ST,302100,187000,211470,130899.99999999999,215775,151042.5,244550,171185
1801 STATE ST,257900,138700,180530,97090,168500,117949.99999999999,198300,138810
1802 STATE ST,354800,220900,248359.99999999997,154630,254375,178062.5,287850,201495
1804 STATE ST,404600,252000,283220,176400,290150,203105,328300,229809.99999999997
1811 STATE ST,357900,207100,250529.99999999997,144970,244800,171360,282500,197750
1815 STATE ST,319300,202300,223510,141610,231550,162085,260800,182560
1819 STATE ST,266500,161300,186550,112910,187600,131320,213900,149730
1825 STATE ST,230400,138300,161280,96810,161325,112927.5,184350,129044.99999999999
1826 STATE ST,279900,279400,195930,195580,279525,195667.5,279650,195755
1827 STATE ST,230700,135200,161490,94640,159075,111352.5,182950,128064.99999999999
1835 STATE ST,493600,298100,345520,208670,346975,242882.49999999997,395850,277095
1840 STATE ST,543900,405300,380730,283710,439950,307965,474600,332220
1845 STATE ST,431400,270500,301980,189350,310725,217507.5,350950,245664.99999999997
1850 STATE ST,271600,187700,190120,131390,208675,146072.5,229650,160755
1856 STATE ST,296200,200400,207340,140280,224350,157045,248300,173810
1857 STATE ST,478300,293700,334810,205590,339850,237894.99999999997,386000,270200
1869 STATE ST,262100,158600,183470,111020,184475,129132.49999999999,210350,147245
1870 STATE ST,415300,247800,290710,173460,289675,202772.5,331550,232084.99999999997
1873 STATE ST,261800,140100,183260,98070,170525,119367.49999999999,200950,140665
1876 STATE ST,474100,293600,331870,205520,338725,237107.49999999997,383850,268695
1878 STATE ST,293600,179900,205520,125929.99999999999,208325,145827.5,236750,165725
1879 STATE ST,331900,201500,232329.99999999997,141050,234100,163870,266700,186690
1880 STATE ST,4200,3000,2940,2100,3300,2310,3600,2520
1882 STATE ST,17100,12600,11970,8820,13725,9607.5,14850,10395
1883 STATE ST,283500,160400,198450,112280,191175,133822.5,221950,155365
1887 STATE ST,317700,191900,222390,134330,223350,156345,254800,178360
1890 STATE ST,270000,162800,189000,113960,189600,132720,216400,151480
1891 STATE ST,312100,199800,218470,139860,227875,159512.5,255950,179165
1898 STATE ST,282300,165600,197610,115919.99999999999,194775,136342.5,223950,156765
1899 STATE ST,235500,188000,164850,131600,199875,139912.5,211750,148225
1905 STATE ST,438000,388200,306600,271740,400650,280455,413100,289170
1912 STATE ST,420300,212800,294210,148960,264675,185272.5,316550,221585
1925 STATE ST,356300,443900,249409.99999999997,310730,422000,295400,400100,280070
1926 STATE ST,NA,1350000,NA,944999.9999999999,NA,NA,NA,NA
1935 STATE ST,361200,200250,252839.99999999997,140175,240487.5,168341.25,280725,196507.5
1959 STATE ST,545700,474200,381990,331940,492075,344452.5,509950,356965
1978 STATE ST,NA,868600,NA,608020,NA,NA,NA,NA
1984 STATE ST,383400,235300,268380,164710,272325,190627.5,309350,216545
1985 STATE ST,NA,2863500,NA,2004449.9999999998,NA,NA,NA,NA
1990 STATE ST,383400,235400,268380,164780,272400,190680,309400,216580
1994 STATE ST,404700,232900,283290,163030,275850,193095,318800,223160
2038 STATE ST,664300,360900,465009.99999999994,252629.99999999997,436750,305725,512600,358820
2061 STATE ST,NA,75972200,NA,53180540,NA,NA,NA,NA
2073 STATE ST,476500,462600,333550,323820,466075,326252.5,469550,328685
2081 STATE ST,288400,180800,201880,126559.99999999999,207700,145390,234600,164220
2105 STATE ST,NA,1667100,NA,1166970,NA,NA,NA,NA
2115 STATE ST,938200,789900,656740,552930,826975,578882.5,864050,604835
2125 STATE ST,266700,182700,186690,127889.99999999999,203700,142590,224700,157290
2139 STATE ST,299100,268700,209370,188090,276300,193410,283900,198730
2145 STATE ST,459400,443300,321580,310310,447325,313127.5,451350,315945
2165 STATE ST,NA,160800,NA,112560,NA,NA,NA,NA
2175 STATE ST,NA,168100,NA,117669.99999999999,NA,NA,NA,NA
2196 STATE ST,436000,297500,305200,208250,332125,232487.49999999997,366750,256724.99999999997
2199 STATE ST,NA,1011400,NA,707980,NA,NA,NA,NA
2206 STATE ST,493600,317400,345520,222180,361450,253014.99999999997,405500,283850
2207 STATE ST,306900,179100,214830,125369.99999999999,211050,147735,243000,170100
2209 STATE ST,320100,396700,224070,277690,377550,264285,358400,250879.99999999997
2215 STATE ST,442700,337400,309890,236179.99999999997,363725,254607.49999999997,390050,273035
2240 STATE ST,750000,1108600,525000,776020,1018950,713265,929300,650510
2241 STATE ST,350700,287000,245489.99999999997,200900,302925,212047.5,318850,223195
2250 STATE ST,405000,446700,283500,312690,436275,305392.5,425850,298095
2259 STATE ST,533700,532000,373590,372400,532425,372697.5,532850,372995
2260 STATE ST,449500,436100,314650,305270,439450,307615,442800,309960
2290 STATE ST,NA,999800,NA,699860,NA,NA,NA,NA
2335 STATE ST,265100,221600,185570,155120,232475,162732.5,243350,170345
2340 STATE ST,882100,556100,617470,389270,637600,446320,719100,503369.99999999994
2345 STATE ST,87300,37700,61109.99999999999,26390,50100,35070,62500,43750
2364 STATE ST,NA,2989200,NA,2092439.9999999998,NA,NA,NA,NA
2391 STATE ST,85500,30800,59849.99999999999,21560,44475,31132.499999999996,58150,40705
2466 STATE ST,420900,407400,294630,285180,410775,287542.5,414150,289905
2468 STATE ST,314500,255500,220150,178850,270250,189175,285000,199500
2470 STATE ST,NA,1731600,NA,1212120,NA,NA,NA,NA
2488 STATE ST,872600,530200,610820,371140,615800,431060,701400,490979.99999999994
2520 STATE ST,375600,391100,262920,273770,387225,271057.5,383350,268345
2535 STATE ST,84700,36200,59289.99999999999,25340,48325,33827.5,60450,42315
2546 STATE ST,309000,234300,216300,164010,252975,177082.5,271650,190155
2554 STATE ST,372800,323200,260959.99999999997,226240,335600,234919.99999999997,348000,243599.99999999997
2575 STATE ST,236800,217400,165760,152180,222250,155575,227100,158970
2580 STATE ST,543600,489200,380520,342440,502800,351960,516400,361480
2581 STATE ST,301000,276600,210700,193620,282700,197890,288800,202160
2584 STATE ST,16100,14400,11270,10080,14825,10377.5,15250,10675
2600 STATE ST,496000,409900,347200,286930,431425,301997.5,452950,317065
2616 STATE ST,230700,165500,161490,115849.99999999999,181800,127259.99999999999,198100,138670
2625 STATE ST,611300,498700,427910,349090,526850,368795,555000,388500
2635 STATE ST,38600,35800,27020,25060,36500,25550,37200,26040
2642 STATE ST,402300,342700,281610,239889.99999999997,357600,250319.99999999997,372500,260749.99999999997
2655 STATE ST,NA,895000,NA,626500,NA,NA,NA,NA
2664 STATE ST,NA,2971800,NA,2080259.9999999998,NA,NA,NA,NA
2685 STATE ST,NA,890000,NA,623000,NA,NA,NA,NA
2691 STATE ST,644900,610800,451430,427560,619325,433527.5,627850,439495
2700 STATE ST,70900,69100,49630,48370,69550,48685,70000,49000
2715 STATE ST,621400,525000,434980,367500,549100,384370,573200,401240
2742 STATE ST,NA,839700,NA,587790,NA,NA,NA,NA
2755 STATE ST,NA,1807300,NA,1265110,NA,NA,NA,NA
2781 STATE ST,843500,667800,590450,467459.99999999994,711725,498207.49999999994,755650,528955
2799 STATE ST,214700,193300,150290,135310,198650,139055,204000,142800
2800 STATE ST,27700,27000,19390,18900,27175,19022.5,27350,19145
2801 STATE ST,980000,800000,686000,560000,845000,591500,890000,623000
2803 STATE ST,265200,291300,185640,203910,284775,199342.5,278250,194775
2816 STATE ST,130400,118000,91280,82600,121100,84770,124200,86940
2822 STATE ST,220300,150900,154210,105630,168250,117774.99999999999,185600,129919.99999999999
2850 STATE ST,331400,267400,231979.99999999997,187180,283400,198380,299400,209580
2864 STATE ST,45900,44800,32129.999999999996,31359.999999999996,45075,31552.499999999996,45350,31744.999999999996
2880 STATE ST,289300,199000,202510,139300,221575,155102.5,244150,170905
2891 STATE ST,741200,612500,518839.99999999994,428750,644675,451272.5,676850,473794.99999999994
2893 STATE ST,590000,525000,413000,367500,541250,378875,557500,390250
2895 STATE ST,NA,1151300,NA,805910,NA,NA,NA,NA
2901 STATE ST,NA,2378200,NA,1664740,NA,NA,NA,NA
2914 STATE ST,236900,156100,165830,109270,176300,123409.99999999999,196500,137550
2935 STATE ST,103000,80600,72100,56420,86200,60339.99999999999,91800,64259.99999999999
2951 STATE ST,615900,470800,431130,329560,507075,354952.5,543350,380345
2953 STATE ST,7900,7300,5530,5110,7450,5215,7600,5320
2964 STATE ST,448600,245000,314020,171500,295900,207130,346800,242759.99999999997
2969 STATE ST,NA,1581000,NA,1106700,NA,NA,NA,NA
2970 STATE ST,264600,183500,185220,128449.99999999999,203775,142642.5,224050,156835
2976 STATE ST,249600,167600,174720,117319.99999999999,188100,131670,208600,146020
2980 STATE ST,368300,295900,257809.99999999997,207130,314000,219800,332100,232469.99999999997
2720 STATE ST #1-1,301600,173500,211120,121449.99999999999,205525,143867.5,237550,166285
2720 STATE ST #1-2,304100,170000,212870,118999.99999999999,203525,142467.5,237050,165935
2720 STATE ST #1-3,281800,152700,197260,106890,184975,129482.49999999999,217250,152075
2720 STATE ST #1-4,299900,162500,209930,113750,196850,137795,231200,161840
2720 STATE ST #1-5,286400,152600,200480,106820,186050,130234.99999999999,219500,153650
2720 STATE ST #1-6,260100,146500,182070,102550,174900,122429.99999999999,203300,142310
2720 STATE ST #2-10,298300,160800,208810,112560,195175,136622.5,229550,160685
2720 STATE ST #2-11,280000,150900,196000,105630,183175,128222.49999999999,215450,150815
2720 STATE ST #2-12,280000,150900,196000,105630,183175,128222.49999999999,215450,150815
2720 STATE ST #2-13,282800,158100,197960,110670,189275,132492.5,220450,154315
2720 STATE ST #2-7,260100,146500,182070,102550,174900,122429.99999999999,203300,142310
2720 STATE ST #2-8,NA,152600,NA,106820,NA,NA,NA,NA
2720 STATE ST #2-9,298300,160800,208810,112560,195175,136622.5,229550,160685
2720 STATE ST #3-14,282800,158100,197960,110670,189275,132492.5,220450,154315
2720 STATE ST #3-15,340300,190300,238209.99999999997,133210,227800,159460,265300,185710
2720 STATE ST #3-16,340500,190400,238349.99999999997,133280,227925,159547.5,265450,185815
2720 STATE ST #3-17,340500,190400,238349.99999999997,133280,227925,159547.5,265450,185815
2720 STATE ST #3-18,339900,190100,237929.99999999997,133070,227550,159285,265000,185500
2720 STATE ST #3-19,284900,153600,199430,107520,186425,130497.49999999999,219250,153475
2720 STATE ST #4-20,286000,154100,200200,107870,187075,130952.49999999999,220050,154035
2720 STATE ST #4-21,286500,154500,200550,108150,187500,131250,220500,154350
2720 STATE ST #4-22,303100,163900,212170,114729.99999999999,198700,139090,233500,163450
2720 STATE ST #4-23,303000,163800,212100,114660,198600,139020,233400,163380
2720 STATE ST #4-24,301800,162600,211260,113820,197400,138180,232200,162540
2720 STATE ST #4-25,287500,155600,201250,108920,188575,132002.5,221550,155085
2720 STATE ST #4-26,287200,159000,201040,111300,191050,133735,223100,156170
2720 STATE ST #5-27,265600,149600,185920,104720,178600,125019.99999999999,207600,145320
2720 STATE ST #5-28,280300,150900,196210,105630,183250,128274.99999999999,215600,150920
2720 STATE ST #5-29,301800,162600,211260,113820,197400,138180,232200,162540
2720 STATE ST #5-30,263000,148100,184100,103670,176825,123777.49999999999,205550,143885
2720 STATE ST #5-31,310300,173500,217210,121449.99999999999,207700,145390,241900,169330
2720 STATE ST #5-32,301600,176500,211120,123549.99999999999,207775,145442.5,239050,167335
2390 STATE ST #L10C,303300,168100,212310,117669.99999999999,201900,141330,235700,164990
2390 STATE ST #L11C,255600,149200,178920,104440,175800,123059.99999999999,202400,141680
2390 STATE ST #L12F,311100,178500,217770,124949.99999999999,211650,148155,244800,171360
2390 STATE ST #L13C,256100,149500,179270,104650,176150,123304.99999999999,202800,141960
2390 STATE ST #L14C,311200,172400,217840,120679.99999999999,207100,144970,241800,169260
2390 STATE ST #L15F,270800,150200,189560,105140,180350,126244.99999999999,210500,147350
2390 STATE ST #L16F,309700,166900,216790,116829.99999999999,202600,141820,238300,166810
2390 STATE ST #L17C,281200,153900,196840,107730,185725,130007.49999999999,217550,152285
2390 STATE ST #L18D,279500,151300,195650,105910,183350,128344.99999999999,215400,150780
2390 STATE ST #L19F,275900,153000,193130,107100,183725,128607.49999999999,214450,150115
2390 STATE ST #L20C,287800,159500,201460,111650,191575,134102.5,223650,156555
2390 STATE ST #L21C,324300,178900,227010,125229.99999999999,215250,150675,251600,176120
2390 STATE ST #L22F,312700,173300,218890,121309.99999999999,208150,145705,243000,170100
2390 STATE ST #L23F,273300,151600,191310,106120,182025,127417.49999999999,212450,148715
2390 STATE ST #L24C,274100,152000,191870,106400,182525,127767.49999999999,213050,149135
2390 STATE ST #L25C,321000,174900,224700,122429.99999999999,211425,147997.5,247950,173565
2390 STATE ST #L26C,235400,137500,164780,96250,161975,113382.5,186450,130514.99999999999
2390 STATE ST #L27C,252600,147400,176820,103180,173700,121589.99999999999,200000,140000
2390 STATE ST #L28C,285100,157300,199570,110110,189250,132475,221200,154840
2390 STATE ST #L9C,256100,149500,179270,104650,176150,123304.99999999999,202800,141960
2301 STATE ST #U1,111600,121300,78120,84910,118875,83212.5,116450,81515
2950 STATE ST #U1,323100,200600,226170,140420,231225,161857.5,261850,183295
2950 STATE ST #U10,298400,210300,208880,147210,232325,162627.5,254350,178045
1730 STATE ST #U100,116300,35300,81410,24710,55550,38885,75800,53060
1730 STATE ST #U101,95700,26000,66990,18200,43425,30397.499999999996,60850,42595
1730 STATE ST #U102,94300,25600,66010,17920,42775,29942.499999999996,59950,41965
1730 STATE ST #U103,94300,25600,66010,17920,42775,29942.499999999996,59950,41965
1730 STATE ST #U104,93200,25300,65239.99999999999,17710,42275,29592.499999999996,59250,41475
1730 STATE ST #U105,94300,23600,66010,16520,41275,28892.499999999996,58950,41265
1730 STATE ST #U106,95700,26000,66990,18200,43425,30397.499999999996,60850,42595
1730 STATE ST #U107,116300,35300,81410,24710,55550,38885,75800,53060
1730 STATE ST #U108,116300,35300,81410,24710,55550,38885,75800,53060
2950 STATE ST #U11,360800,253200,252559.99999999997,177240,280100,196070,307000,214900
2950 STATE ST #U12,288000,211100,201600,147770,230325,161227.5,249550,174685
2950 STATE ST #U13,326700,232000,228690,162400,255675,178972.5,279350,195545
2950 STATE ST #U14,277400,191300,194180,133910,212825,148977.5,234350,164045
2950 STATE ST #U15,226300,157800,158410,110460,174925,122447.49999999999,192050,134435
2950 STATE ST #U16,277400,191300,194180,133910,212825,148977.5,234350,164045
2950 STATE ST #U17,283700,197800,198590,138460,219275,153492.5,240750,168525
2950 STATE ST #U18,226400,157800,158480,110460,174950,122464.99999999999,192100,134470
2950 STATE ST #U19,273800,190900,191660,133630,211625,148137.5,232350,162645
2390 STATE ST #U1A,229300,126900,160510,88830,152500,106750,178100,124669.99999999999
2390 STATE ST #U1B,229300,126900,160510,88830,152500,106750,178100,124669.99999999999
2390 STATE ST #U1C,230200,127600,161140,89320,153250,107275,178900,125229.99999999999
2390 STATE ST #U1D,232200,128700,162540,90090,154575,108202.5,180450,126314.99999999999
2390 STATE ST #U1E,230200,127600,161140,89320,153250,107275,178900,125229.99999999999
2390 STATE ST #U1F,230200,127600,161140,89320,153250,107275,178900,125229.99999999999
2390 STATE ST #U1G,227100,126000,158970,88200,151275,105892.5,176550,123584.99999999999
2301 STATE ST #U2,223500,246500,156450,172550,240750,168525,235000,164500
2950 STATE ST #U2,320800,226000,224560,158200,249700,174790,273400,191380
2950 STATE ST #U20,294400,189900,206080,132930,216025,151217.5,242150,169505
1730 STATE ST #U200,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U201,102200,43300,71540,30309.999999999996,58025,40617.5,72750,50925
1730 STATE ST #U202,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U203,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U204,93200,42200,65239.99999999999,29539.999999999996,54950,38465,67700,47390
1730 STATE ST #U205,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U206,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U207,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U208,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U209,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
2950 STATE ST #U21,223700,156000,156590,109200,172925,121047.49999999999,189850,132895
1730 STATE ST #U210,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U211,122900,62100,86030,43470,77300,54110,92500,64749.99999999999
1730 STATE ST #U212,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U213,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U214,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U215,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
2950 STATE ST #U22,273500,190700,191450,133490,211400,147980,232100,162470
2950 STATE ST #U23,302700,189500,211890,132650,217800,152460,246100,172270
2950 STATE ST #U24,226400,157800,158480,110460,174950,122464.99999999999,192100,134470
2950 STATE ST #U25,271100,200800,189770,140560,218375,152862.5,235950,165165
2950 STATE ST #U26,283100,197400,198170,138180,218825,153177.5,240250,168175
2950 STATE ST #U27,223200,162500,156240,113750,177675,124372.49999999999,192850,134995
2950 STATE ST #U28,272300,197400,190610,138180,216125,151287.5,234850,164395
2950 STATE ST #U29,230200,172300,161140,120609.99999999999,186775,130742.49999999999,201250,140875
2390 STATE ST #U2A,169600,91400,118719.99999999999,63979.99999999999,110950,77665,130500,91350
2390 STATE ST #U2B,201400,109900,140980,76930,132775,92942.5,155650,108955
2390 STATE ST #U2C,192800,105300,134960,73710,127175,89022.5,149050,104335
2390 STATE ST #U2D,170700,92500,119489.99999999999,64749.99999999999,112050,78435,131600,92120
2390 STATE ST #U2E,202900,110700,142030,77490,133750,93625,156800,109760
2390 STATE ST #U2F,215000,110700,150500,77490,136775,95742.5,162850,113995
2390 STATE ST #U2G,169600,91400,118719.99999999999,63979.99999999999,110950,77665,130500,91350
2390 STATE ST #U2H,202900,110700,142030,77490,133750,93625,156800,109760
2390 STATE ST #U2I,202900,110700,142030,77490,133750,93625,156800,109760
2390 STATE ST #U2J,169600,91400,118719.99999999999,63979.99999999999,110950,77665,130500,91350
2390 STATE ST #U2K,202900,110700,142030,77490,133750,93625,156800,109760
2390 STATE ST #U2L,208100,110700,145670,77490,135050,94535,159400,111580
2390 STATE ST #U2M,170100,91900,119069.99999999999,64329.99999999999,111450,78015,131000,91700
2390 STATE ST #U2N,200100,109200,140070,76440,131925,92347.5,154650,108255
2390 STATE ST #U2O,197400,110700,138180,77490,132375,92662.5,154050,107835
2390 STATE ST #U2P,162200,87400,113540,61179.99999999999,106100,74270,124800,87360
2390 STATE ST #U2Q,166700,90100,116689.99999999999,63069.99999999999,109250,76475,128400,89880
2390 STATE ST #U2R,163400,88400,114380,61879.99999999999,107150,75005,125900,88130
2390 STATE ST #U2S,167400,88400,117179.99999999999,61879.99999999999,108150,75705,127900,89530
2390 STATE ST #U2T,162700,87900,113890,61529.99999999999,106600,74620,125300,87710
2390 STATE ST #U2U,162700,87900,113890,61529.99999999999,106600,74620,125300,87710
2390 STATE ST #U2V,163400,88400,114380,61879.99999999999,107150,75005,125900,88130
2390 STATE ST #U2W,163400,88400,114380,61879.99999999999,107150,75005,125900,88130
2390 STATE ST #U2X,163400,88400,114380,61879.99999999999,107150,75005,125900,88130
2390 STATE ST #U2Y,168200,88400,117739.99999999999,61879.99999999999,108350,75845,128300,89810
2301 STATE ST #U3,338100,423600,236669.99999999997,296520,402225,281557.5,380850,266595
2950 STATE ST #U3,325000,224100,227500,156870,249325,174527.5,274550,192185
2950 STATE ST #U30,269700,195500,188790,136850,214050,149835,232600,162820
1730 STATE ST #U300,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U301,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U302,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U303,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U304,122100,61700,85470,43190,76800,53760,91900,64329.99999999999
1730 STATE ST #U305,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U306,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U307,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U308,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U309,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U310,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U311,122900,62100,86030,43470,77300,54110,92500,64749.99999999999
1730 STATE ST #U312,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U313,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U314,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U315,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
2950 STATE ST #U4,251100,176800,175770,123759.99999999999,195375,136762.5,213950,149765
1730 STATE ST #U400,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U401,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U402,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U403,94300,42700,66010,29889.999999999996,55600,38920,68500,47950
1730 STATE ST #U404,122100,61700,85470,43190,76800,53760,91900,64329.99999999999
1730 STATE ST #U405,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U406,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U407,116300,58800,81410,41160,73175,51222.5,87550,61284.99999999999
1730 STATE ST #U408,114600,57900,80220,40530,72075,50452.5,86250,60374.99999999999
1730 STATE ST #U409,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U410,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U411,124700,63000,87290,44100,78425,54897.5,93850,65695
1730 STATE ST #U412,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U413,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
1730 STATE ST #U414,95700,43300,66990,30309.999999999996,56400,39480,69500,48650
