address,appraisal,appraisal_old,assessment_new,assessment_old,appraisal_year1,assessment_year1,appraisal_year2,assessment_year2
43 ARDMORE ST,447400,271400,313180,189980,315400,220780,359400,251579.99999999997
44 ARDMORE ST,413300,258600,289310,181020,297275,208092.5,335950,235164.99999999997
49 ARDMORE ST,415000,255900,290500,179130,295675,206972.5,335450,234814.99999999997
53 ARDMORE ST,436400,279200,305480,195440,318500,222950,357800,250459.99999999997
54 ARDMORE ST,493800,320600,345660,224420,363900,254729.99999999997,407200,285040
57 ARDMORE ST,445300,280800,311710,196560,321925,225347.5,363050,254134.99999999997
60 ARDMORE ST,446100,282300,312270,197610,323250,226275,364200,254939.99999999997
64 ARDMORE ST,443200,273300,310240,191310,315775,221042.5,358250,250774.99999999997
69 ARDMORE ST,483700,305300,338590,213710,349900,244929.99999999997,394500,276150
70 ARDMORE ST,459800,295000,321860,206500,336200,235339.99999999997,377400,264180
74 ARDMORE ST,493400,376100,345380,263270,405425,283797.5,434750,304325
80 ARDMORE ST,433000,275400,303100,192780,314800,220360,354200,247939.99999999997
85 ARDMORE ST,407600,256400,285320,179480,294200,205940,332000,232399.99999999997
86 ARDMORE ST,457400,261000,320180,182700,310100,217070,359200,251439.99999999997
90 ARDMORE ST,465100,305200,325570,213640,345175,241622.49999999997,385150,269605
93 ARDMORE ST,447900,281100,313530,196770,322800,225960,364500,255149.99999999997
94 ARDMORE ST,466400,338100,326480,236669.99999999997,370175,259122.49999999997,402250,281575
100 ARDMORE ST,417400,264500,292180,185150,302725,211907.5,340950,238664.99999999997
101 ARDMORE ST,420500,247800,294350,173460,290975,203682.5,334150,233904.99999999997
104 ARDMORE ST,401000,256100,280700,179270,292325,204627.5,328550,229984.99999999997
105 ARDMORE ST,445400,283400,311780,198380,323900,226730,364400,255079.99999999997
109 ARDMORE ST,461000,299000,322700,209300,339500,237649.99999999997,380000,266000
110 ARDMORE ST,412700,265600,288890,185920,302375,211662.5,339150,237404.99999999997
113 ARDMORE ST,393600,227300,275520,159110,268875,188212.5,310450,217315
114 ARDMORE ST,415700,262100,290990,183470,300500,210350,338900,237229.99999999997
119 ARDMORE ST,448200,265700,313740,185990,311325,217927.5,356950,249864.99999999997
120 ARDMORE ST,411300,239400,287910,167580,282375,197662.5,325350,227745
123 ARDMORE ST,436700,283600,305690,198520,321875,225312.5,360150,252104.99999999997
124 ARDMORE ST,429500,260100,300650,182070,302450,211715,344800,241359.99999999997
127 ARDMORE ST,415600,261900,290920,183330,300325,210227.5,338750,237124.99999999997
130 ARDMORE ST,389900,251900,272930,176330,286400,200480,320900,224630
134 ARDMORE ST,397500,254500,278250,178150,290250,203175,326000,228200
135 ARDMORE ST,409900,253900,286930,177730,292900,205030,331900,232329.99999999997
139 ARDMORE ST,398300,245500,278810,171850,283700,198590,321900,225330
140 ARDMORE ST,402600,260300,281820,182210,295875,207112.5,331450,232014.99999999997
143 ARDMORE ST,399300,236700,279510,165690,277350,194145,318000,222600
144 ARDMORE ST,395100,253700,276570,177590,289050,202335,324400,227080
147 ARDMORE ST,413800,259400,289660,181580,298000,208600,336600,235619.99999999997
148 ARDMORE ST,393000,245800,275100,172060,282600,197820,319400,223580
154 ARDMORE ST,472200,283800,330540,198660,330900,231629.99999999997,378000,264600
160 ARDMORE ST,447500,289700,313250,202790,329150,230404.99999999997,368600,258019.99999999997
11 ARENTS RD,325500,211700,227850,148190,240150,168105,268600,188020
25 ARENTS RD,282900,170400,198030,119279.99999999999,198525,138967.5,226650,158655
1 ARMORY ST,329700,271700,230789.99999999997,190190,286200,200340,300700,210490
19 ARMORY ST,326000,265200,228200,185640,280400,196280,295600,206920
31 ARMORY ST,325300,249200,227710,174440,268225,187757.5,287250,201075
65 ARMORY ST,788200,721400,551740,504979.99999999994,738100,516669.99999999994,754800,528360
99 ARMORY ST,598900,479600,419230,335720,509425,356597.5,539250,377475
103 ARMORY ST,582300,385600,407610,269920,434775,304342.5,483950,338765
119 ARMORY ST,676200,424300,473339.99999999994,297010,487275,341092.5,550250,385175
123 ARMORY ST,670100,517400,469069.99999999994,362180,555575,388902.5,593750,415625
125 ARMORY ST,653800,432900,457660,303030,488125,341687.5,543350,380345
133 ARMORY ST,631000,339500,441700,237649.99999999997,412375,288662.5,485250,339675
139 ARMORY ST,576500,359200,403550,251439.99999999997,413525,289467.5,467850,327495
140 ARMORY ST,212000,123200,148400,86240,145400,101780,167600,117319.99999999999
146 ARMORY ST,765300,485600,535710,339920,555525,388867.5,625450,437815
