address,polling_place,house_num_low,house_num_high,district
Pine Rock Ave,Booker T Washington Academy,631,999999,2
Pine St,Keefe Community Center,1,999999,3
Pinewood Rd,Miller Library,1,999999,1
Piper Rd,Booker T Washington Academy,1,999999,2
Plains Rd,Booker T Washington Academy,1,999999,2
Plaza Ter,Bear Path School,1,999999,8
Pleasant Dr,Booker T Washington Academy,1,999999,2
Pond Rd,Booker T Washington Academy,1,999999,2
Pondwood Ct,Bear Path School,1,999999,8
Post Falls Ln,West Woods School,1,999999,9
Prescott St,Keefe Community Center,1,999999,3
Promenade Dr,Bear Path School,1,999999,8
Prospect Ct,Board Of Education Building,1,999999,5
Prospect Ln,Board Of Education Building,1,999999,5
Prospect St,Board Of Education Building,825,910,5
Prospect St,Board Of Education Building,912,999998,5
Prospect St,Board Of Education Building,911,999999,5
Putnam Ave,Board Of Education Building,2,168,5
Putnam Ave,Board Of Education Building,170,332,5
Putnam Ave,Keefe Community Center,334,999998,3
Putnam Ave,Board Of Education Building,1,475,5
Quaker Rd,Ridge Hill School,1,999999,6
Quarry Ln,Bear Path School,1,999999,8
Quentin St,Board Of Education Building,1,999999,5
Raccio Park Rd,Miller Library,1,999999,1
Raelin Rd,Bear Path School,1,999999,8
Rainbow Ct,West Woods School,1,999999,9
Ralston Ave,Board Of Education Building,1,999999,5
Ranch Rd,Ridge Hill School,1,999999,6
Rayzoe Ter,Bear Path School,1,999999,8
Read Rd,Miller Library,1,999999,1
Red Rock Ter,Booker T Washington Academy,2,999998,2
Red Rock Ter,Dunbar Hill School,1,999999,7
Remington St,Keefe Community Center,1,999999,3
Reniew Rd,Bear Path School,1,999999,8
Renshaw Rd,Miller Library,1,999999,1
Rentell Rd,Bear Path School,2,999998,8
Rentell Rd,Bear Path School,1,999999,8
Reservoir St,Board Of Education Building,100,999999,5
Reyna Rd,Booker T Washington Academy,1,50,2
Reyna Rd,Booker T Washington Academy,51,999999,2
Richard Dr,Dunbar Hill School,1,999999,7
Ridge Rd,Ridge Hill School,1,639,6
Ridge Rd,Ridge Hill School,640,999998,6
Ridge Rd,Ridge Hill School,641,999999,6
