STREET NAME,POLLING PLACE,RANGE
Plains Rd,Booker T Washington Academy,1-999999
Plaza Ter,Bear Path School,1-999999
Pleasant Dr,Booker T Washington Academy,1-999999
Pond Rd,Booker T Washington Academy,1-999999
Pondwood Ct,Bear Path School,1-999999
Post Falls Ln,West Woods School,1-999999
Prescott St,Keefe Community Center,1-999999
Promenade Dr,Bear Path School,1-999999
Prospect Ct,Board Of Education Building,1-999999
Prospect Ln,Board Of Education Building,1-999999
Prospect St,Board Of Education Building,825-910
Prospect St,Board Of Education Building,912-999998
Prospect St,Board Of Education Building,911-999999
Putnam Ave,Board Of Education Building,2-168
Putnam Ave,Board Of Education Building,170-332
Putnam Ave,Keefe Community Center,334-999998
Putnam Ave,Board Of Education Building,1-475
Quaker Rd,Ridge Hill School,1-999999
Quarry Ln,Bear Path School,1-999999
Quentin St,Board Of Education Building,1-999999
Raccio Park Rd,Miller Library,1-999999
Raelin Rd,Bear Path School,1-999999
Rainbow Ct,West Woods School,1-999999
Ralston Ave,Board Of Education Building,1-999999
Ranch Rd,Ridge Hill School,1-999999
Rayzoe Ter,Bear Path School,1-999999
Read Rd,Miller Library,1-999999
Red Rock Ter,Booker T Washington Academy,2-999998
Red Rock Ter,Dunbar Hill School,1-999999
Remington St,Keefe Community Center,1-999999
Reniew Rd,Bear Path School,1-999999
Renshaw Rd,Miller Library,1-999999
Rentell Rd,Bear Path School,2-999998
Rentell Rd,Bear Path School,1-999999
Reservoir St,Board Of Education Building,100-999999
Reyna Rd,Booker T Washington Academy,1-50
Reyna Rd,Booker T Washington Academy,51-999999
Richard Dr,Dunbar Hill School,1-999999
Ridge Rd,Ridge Hill School,1-639
Ridge Rd,Ridge Hill School,640-999998
Ridge Rd,Ridge Hill School,641-999999
Ridgewood Ave,Ridge Hill School,184-999999
Ridgewood Ct,Miller Library,1-999999
River Rd,West Woods School,1-264
River Rd,West Woods School,266-470
River Rd,West Woods School,472-999998
River Rd,West Woods School,265-469
River Rd,West Woods School,471-489
River Rd,West Woods School,491-999999
Riverside Dr,Miller Library,1-999999
Robert St,Dunbar Hill School,1-999999
Robertson Dr,Miller Library,1-999999
Robin Hill Ln,West Woods School,1-999999
Robinwood Rd,Ridge Hill School,1-999999
Rochford Ave,Keefe Community Center,1-999999
Rockview Rd,Keefe Community Center,1-999999
Rockwood Rd,Keefe Community Center,1-999999
Rocky Top Rd,West Woods School,2-999998
Rocky Top Rd,Miller Library,1-999999
Rogers Rd,Ridge Hill School,2-999998
Rogers Rd,Board Of Education Building,1-999999
Rolfe Rd,Board Of Education Building,1-999999
Rolling Ridge Rd,Miller Library,1-999999
Roosevelt St,Dunbar Hill School,1-999999
Rose St,Booker T Washington Academy,1-999999
Rosedale Rd,Booker T Washington Academy,1-999999
Rosina Rd,Keefe Community Center,1-999999
Rossotto Dr,Miller Library,1-999999
Russell St,Spring Glen School,1-999999
Russo Dr,West Woods School,1-999999
S New Rd,Miller Library,1-999999
Sandquist Cir,Dunbar Hill School,1-999999
Sanford St,Spring Glen School,1-70
Sanford St,Bear Path School,71-999999
Santa Fe Ave,Ridge Hill School,1-999999
Savoy St,Booker T Washington Academy,1-999999
School St,Miller Library,1-60
School St,Spring Glen School,61-999999
Schupp Rd,Dunbar Hill School,1-999999
Scott St,Booker T Washington Academy,1-999999
Sebec St,Ridge Hill School,1-999999
Second St,Keefe Community Center,1-999999
Seminole Ave,Miller Library,1-999999
Serafin Ct,West Woods School,1-999999
Sheahan Dr,Bear Path School,1-999999
Shelton Ave,Keefe Community Center,432-999999
Shepard Ave,Bear Path School,1-625
Shepard Ave,West Woods School,1754-999999
Shepard Ave,Bear Path School,626-1516
Shepard Ave,West Woods School,1518-1752
Shepard Ave,Miller Library,627-1125
Shepard Ave,West Woods School,1127-1753
Shepard Hill Rd,Bear Path School,1-999999
Shepard St,Keefe Community Center,124-999999
Shepards Knoll Dr,Bear Path School,1-999999
Sherman Ave,West Woods School,1-450
Sherman Ave,Miller Library,596-1269
Sherman Ave,Bear Path School,1501-999999
Sherman Ave,Miller Library,452-594
Sherman Ave,Bear Path School,1270-1500
Sherman Ave,West Woods School,451-595
Sherman Ave,Miller Library,1271-1499
